contig	bin
contig_1123	0
contig_124	0
contig_125	0
contig_126	0
contig_127	0
contig_128	0
contig_1281	0
contig_129	0
contig_534	0
contig_656	0
contig_96	0
contig_122	1
contig_231	1
contig_272	1
contig_295	1
contig_342	1
contig_466	1
contig_221	2
contig_222	2
contig_341	2
contig_343	2
contig_346	2
contig_91	2
contig_237	3
contig_291	3
contig_293	3
contig_294	3
contig_328	3
contig_377	3
contig_379	3
contig_380	3
contig_34	4
contig_1345	5
contig_1608	5
contig_1880	5
contig_1933	5
contig_246	5
contig_252	5
contig_423	5
contig_642	5
contig_643	5
contig_1871	6
contig_219	6
contig_82	6
contig_84	6
contig_85	6
contig_86	6
contig_92	6
contig_952	6
contig_1068	7
contig_1069	7
contig_1155	7
contig_1449	7
contig_1564	7
contig_1656	7
contig_1828	7
contig_1881	7
contig_1916	7
contig_1992	7
contig_2041	7
contig_2068	7
contig_2083	7
contig_259	7
contig_350	7
contig_359	7
contig_360	7
contig_418	7
contig_469	7
contig_498	7
contig_499	7
contig_841	7
contig_851	7
contig_852	7
contig_1012	8
contig_1171	8
contig_1491	8
contig_1563	8
contig_1609	8
contig_1619	8
contig_1678	8
contig_1729	8
contig_1797	8
contig_1840	8
contig_1853	8
contig_1875	8
contig_1877	8
contig_1892	8
contig_1898	8
contig_1899	8
contig_1902	8
contig_1923	8
contig_1928	8
contig_1950	8
contig_1956	8
contig_1998	8
contig_2011	8
contig_2017	8
contig_2023	8
contig_2026	8
contig_2039	8
contig_2087	8
contig_217	8
contig_230	8
contig_233	8
contig_235	8
contig_241	8
contig_273	8
contig_278	8
contig_327	8
contig_400	8
contig_514	8
contig_515	8
contig_517	8
contig_518	8
contig_552	8
contig_654	8
contig_669	8
contig_77	8
contig_938	8
contig_967	8
contig_10	9
contig_11	9
contig_13	9
contig_14	9
contig_15	9
contig_150	9
contig_16	9
contig_1818	9
contig_1820	9
contig_1823	9
contig_1824	9
contig_1864	9
contig_2	9
contig_22	9
contig_23	9
contig_24	9
contig_26	9
contig_28	9
contig_31	9
contig_318	9
contig_51	9
contig_625	9
contig_7	9
contig_8	9
contig_1	10
contig_1000	10
contig_1009	10
contig_1036	10
contig_1066	10
contig_1067	10
contig_1079	10
contig_1088	10
contig_1093	10
contig_1110	10
contig_1111	10
contig_1158	10
contig_1174	10
contig_1208	10
contig_1215	10
contig_1236	10
contig_131	10
contig_1318	10
contig_132	10
contig_1325	10
contig_1377	10
contig_1397	10
contig_1428	10
contig_1443	10
contig_1490	10
contig_1512	10
contig_1526	10
contig_1536	10
